directors,Number of Records
Ashutosh Gowariker,1
Satyajit Bhatkal,1
Anusha Rizvi,1
Aamir Khan,1
Shashank Khaitan,1
Ryan Crego,1
Cassi Simonds,1
Guillermo del Toro,1
Tony Abulu,1
Mae Czarina Cruz,1
Stefan Westerwelle,1
Ron Howard,1
Justin Benson,1
Niki Caro,1
Mark Dennis,1
Taranveer Singh,1
TT The Artist,1
Keiichi Sato,1
Glenn Weiss,1
Michael Civille,1
Ryuichi Hiroki,1
Paul Thomas Anderson,1
One9,1
Adriano Rudiman,1
Luis Valdez,1
Cheng Wei-hao,1
Pass Patthanakumjon,1
Buchi Babu Sana,1
Fredrick Munk,1
Suhas Kadav,1
Suhas Kadav,1
Suhas Kadav,1
Suhas Kadav,1
Moyoung Jin,1
Suhas Kadav,1
Suhas Kadav,1
Suhas Kadav,1
Zhao Ji,1
Jamie Babbit,1
Park Hoon-jung,1
Dare Olaitan,1
Hardik Mehta,1
Ben Falcone,1
Travon Free,1
Angga Dwimas Sasongko,1
Steve Rolston,1
Shalini Kantayya,1
Madonne Ashwin,1
Enah Johnscott,1
Braden R. Duemmler,1
Cal Brunker,1
Steve Pink,1
Xiao Feng,1
Vince Marcello,1
Ricky Staub,1
Patrick Durham,1
BB Sasore,1
Naseef Yusuf Izuddin,1
Appie Boudellah,1
Sylvie Verheyde,1
Nick Moore,1
Alex Zamm,1
Roland Emmerich,1
Rajkumar Hirani,1
Rajesh Mapuskar,1
Lina Al Abed,1
James Wan,1
David Hackl,1
Takeshi Nozue,1
Robert Luketic,1
Subhash Kapoor,1
Ringo Lam,1
George Cukor,1
Tony Giglio,1
Hidenori Inoue,1
Hidenori Inoue,1
Hidenori Inoue,1
Don Michael Paul,1
Shinji Aramaki,1
John Luessenhop,1
Hanung Bramantyo,1
Bashir El Deek,1
Roman Polański,1
Nelson McCormick,1
Mic Rodgers,1
Bejoy Nambiar,1
Shawn Rech,1
Peyton Reed,1
Julian Schnabel,1
Adrián García Bogliano,1
Jose Gomez,1
Jonathon Link,1
Blair Simmons,1
Justin Chadwick,1
John Hillcoat,1
Nadine Ibrahim,1
Roman White,1
Fermín Muguruza,1
Mike Hodges,1
Eylem Kaftan,1
Fernando Ayllón,1
Umesh Bist,1
Massimiliano Camaiti,1
Aleksey Tsitsilin,1
Ali Tabrizi,1
Kagiso Lediga,1
Jung-ah Im,1
Stephen Frears,1
Takuma Sato,1
Brody Chu,1
Dimitri Logothetis,1
Taketoshi Sado,1
Li Weiran,1
Chinaza Onuzo,1
Anna Elizabeth James,1
Vitor Brandt,1
Troy Miller,1
Liam O'Donnell,1
Manny Rodriguez,1
Farah Nabulsi,1
Adriano Rudiman,1
Walter Taylaur,1
Chris Smith,1
Alain Brunard,1
Tate Taylor,1
Ladislaus Kiraly,1
Oliver Stone,1
Hemambar Jasti,1
Steven Spielberg,1
Taylor Morden,1
Helena Coan,1
Muharrem Gülmez,1
Dolapo Adeleke,1
Mahsun Kırmızıgül,1
Can Ulkay,1
Luis Alejandro Pérez,1
Ketche,1
Erol Özlevi,1
Miguel Arteta,1
Tolga Örnek,1
Pablo Agüero,1
Mohammad Irfan Ramly,1
Kevin McManus,1
Ange Basterga,1
Gitanjali Rao,1
Halitha Shameem,1
Carlos Moreno,1
Kayode Kasum,1
Maribel Sánchez-Maroto,1
Julien Leclercq,1
Fajar Bustomi,1
Taylor Hackford,1
Lasse Hallström,1
Amy Poehler,1
Jared Hess,1
Mike Binder,1
Abir Sengupta,1
Sunny Lau,1
Hidenori Inoue,1
Emmett Malloy,1
Xavier Maingon,1
Milton Kremer,1
Kevin Costner,1
Marco Petry,1
Andrew Duncan,1
Barry Levinson,1
Hidenori Inoue,1
Liam Lynch,1
Jérémie Degruson,1
Matt Ross,1
Dani de la Orden,1
Pablo Larraín,1
John Erick Dowdle,1
Jesse Peretz,1
Ribhu Dasgupta,1
Pablo Larraín,1
Baran bo Odar,1
Rizki Balki,1
Shunsuke Kariyama,1
Jeferson De,1
Troy Miller,1
Barry Avrich,1
David Tryhorn,1
Tirumala Kishore,1
James Wan,1
James Wan,1
Huang Hsin-Yao,1
Chris Weitz,1
Saron Sakina,1
J Blakeson,1
Khalid Rahman,1
Luis Ara,1
Tharun Bhascker Dhaassyam,1
Prateek Vats,1
Alex Merkin,1
Ian Cheney,1
Ben Simms,1
Vikram Bhatt,1
Dallas Jenkins,1
Damián Romay,1
Hamisha Daryani Ahuja,1
Hong Khaou,1
Mario Briongos,1
Vinay Bharadwaj,1
Michael Fimognari,1
Eric D. Cabello Díaz,1
Clara Martínez-Lázaro,1
Monty Tiwa,1
Ava DuVernay,1
Alain Darborg,1
Filip Zylber,1
Ava DuVernay,1
Joe Berlinger,1
Julien Royal,1
Brian Baugh,1
Todd Phillips,1
Henri Wong,1
Maïa Sandoz,1
Mostofa Sarwar Farooki,1
Joseph Hsu,1
Sam Levinson,1
Jo Sung-hee,1
Michèle Ohayon,1
Rocco Ricciardulli,1
Guo Jingming,1
Jan Belcl,1
Esteban Crespo,1
Noé González,1
Dennis Dugan,1
Sarah Gavron,1
Martin Scorsese,1
Roger Donaldson,1
Richard Arellano,1
Jon Favreau,1
Marco Pontecorvo,1
Gregory Plotkin,1
Lluís Quílez,1
Jude Weng,1
Simon Stone,1
Noviandra Santosa,1
Jeremy Grant,1
Jeo Baby,1
Glendyn Ivin,1
Okey Oku,1
Ifeanyi Ikpoenyi,1
Chris Eneng Enaji,1
Ángeles Reiné,1
Paul Haggis,1
Ramin Bahrani,1
Nicol Paone,1
Nick Rowland,1
RZA,1
Cooper Karl,1
Gary Fleder,1
J.A. Bayona,1
Darren Lynn Bousman,1
Lydia Dean Pilcher,1
Cris D'Amato,1
Mikael Håfström,1
Eric Darnell,1
Byeon Hee-sun,1
Peter Facinelli,1
Renuka Shahane,1
Ross Kauffman,1
Sung Do-jun,1
Hanung Bramantyo,1
Charles Gozali,1
James Toback,1
Tiller Russell,1
Francisco D'Eufemia,1
Chris Rock,1
Juliet May,1
Stanley Nelson,1
Olivier Nakache,1
Prakash Jha,1
Rohan Sippy,1
Ross Venokur,1
Prakash Jha,1
Rohena Gera,1
Maite Ruiz De Austri,1
Jastis Arimba,1
Eric Summer,1
Kornél Mundruczó,1
Alejandro Ruax,1
Florent Bodin,1
Sohail Khan,1
Gabriele Muccino,1
Hallvard Bræin,1
Jeff Tremaine,1
Christian Alvart,1
Robert Townsend,1
Jeff Deverett,1
Ron Krauss,1
Brian Robbins,1
Jeff Stilson,1
Sean Penn,1
Mark McQueen,1
Melanie Mayron,1
Donald Petrie,1
Tony Collingwood,1
Jennifer Beamish,1
Jaume Collet-Serra,1
A. L. Vijay,1
A. L. Vijay,1
A. Raajdheep,1
A. Salaam,1
A.R. Murugadoss,1
A.R. Murugadoss,1
Aadish Keluskar,1
Aamir Bashir,1
Aanand Rai,1
Aaron Burns,1
Aaron Hancox,1
Aaron Hann,1
Aaron Lieber,1
Aaron Moorhead,1
Aaron Moorhead,1
Aaron Nee,1
Aaron Sorkin,1
Aaron Sorkin,1
Aaron Woodley,1
Aaron Woolf,1
Aatmaram Dharne,1
Abba T. Makama,1
Abba T. Makama,1
Abbas Alibhai Burmawalla,1
Abbas Alibhai Burmawalla,1
Abbas Alibhai Burmawalla,1
Abbas Alibhai Burmawalla,1
Abbas Alibhai Burmawalla,1
Abbas Mustan,1
Abby Epstein,1
Abdellatif Kechiche,1
Abdul Aziz Hashad,1
Abdullah Al Noor,1
Abel Ferrara,1
Abhay Chopra,1
Abhijeet Deshpande,1
Abhijit Kokate,1
Abhijit Panse,1
Abhijit Panse,1
Abhinav Shiv Tiwari,1
Abhinay Deo,1
Abhinay Deo,1
Abhishek Chaubey,1
Abhishek Chaubey,1
Abhishek Chaubey,1
Abhishek Chaubey,1
Abhishek Chaubey,1
Abhishek Kapoor,1
Abhishek Kapoor,1
Abhishek Kapoor,1
Abhishek Saxena,1
Abhishek Sharma,1
Abhishek Sharma,1
Abhishek Sharma,1
Abhishek Varman,1
Abosi Ogba,1
Abu Bakr Shawky,1
Aco Tenriyagelli,1
Adam Alleca,1
Adam B. Stein,1
Adam Bhala Lough,1
Adam Bolt,1
Adam Carolla,1
Adam Carolla,1
Adam Carolla,1
Adam Collins,1
Adam Darke,1
Adam Davis,1
Adam Del Giudice,1
Adam Deyoe,1
Adam Dubin,1
Adam Egypt Mortimer,1
Adam Larson Broder,1
Adam Leon,1
Adam MacDonald,1
Adam Marino,1
Adam McKay,1
Adam McKay,1
Adam Nee,1
Adam Nimoy,1
Adam Randall,1
Adam Schlesinger,1
Adam Shankman,1
Adam Shankman,1
Adam Shankman,1
Adam Sjöberg,1
Adam Smith,1
Adam Wingard,1
Adam Wood,1
Adarsh Eshwarappa,1
Adekunle Nodash Adejuyigbe,1
Adele K. Thomas,1
Adirek Wattaleela,1
Adisorn Tresirikasem,1
Aditya Kripalani,1
Aditya Sarpotdar,1
Aditya Sarpotdar,1
Aditya Vikram Sengupta,1
Adrian Murray,1
Adrian Teh,1
Adrian Teh,1
Adrian Teh,1
Adriana Trigiani,1
Adrien Lagier,1
Advait Chandan,1
Adze Ugah,1
Adze Ugah,1
Afia Nathaniel,1
Afonso Poyart,1
Agasyah Karim,1
Agnidev Chatterjee,1
Agustí Villaronga,1
Ah Loong,1
Ahishor Solomon,1
Ahmad El-Badri,1
Ahmad El-Badri,1
Ahmad El-Badri,1
Ahmad El-Badri,1
Ahmad Samir Farag,1
Ahmed Al-Badry,1
Ahmed Al-Badry,1
Ahmed Al-Badry,1
Ahmed El Gendy,1
Ahmed Medhat,1
Ahmed Nader Galal,1
Ahmed Nader Galal,1
Ahmed Nader Galal,1
Ahmed Nader Galal,1
Ahmed Saleh,1
Ahmed Yousry,1
Ahmed Zain,1
Ahmed Zain,1
Ahmed Zein,1
Ahmed Zein,1
Ahmet Katıksız,1
Ahn Byoung-wook,1
Ahsan Rahim,1
Aijaz Khan,1
Aitor Arregi,1
Aitor Arregi,1
Ajay Bahl,1
Ajay Bhuyan,1
Ajay Bhuyan,1
Ajay Phansekar,1
Ajithkumar,1
Akashdeep,1
Akhigbe Ilozobhie,1
Akhil Paul,1
Akihiko Yamashita,1
Akin Omotoso,1
Akira Saitoh,1
Akiva Goldsman,1
Akiva Schaffer,1
Akiva Schaffer,1
Akiva Schaffer,1
Akiyuki Shinbo,1
Akram Farouk,1
Akshay Akkineni,1
Akshay Shankar,1
Al Campbell,1
Alain Desrochers,1
Alain Gagnol,1
Alan Hicks,1
Alan J. Pakula,1
Alan Mak,1
Alan Poul,1
Alan Rickman,1
Alan Yang,1
Alana Waksman,1
Alankrita Shrivastava,1
Alastair Fothergill,1
Alastair Fothergill,1
Alastair Fothergill,1
Alastair Fothergill,1
Alban Teurlai,1
Alban Teurlai,1
Albert Hughes,1
Albert Sharpe,1
Alberto Arnaut Estrada,1
Alberto Rodríguez,1
Alejandra Márquez Abella,1
Alejandro Agresti,1
Alejandro Agresti,1
Alejandro Doria,1
Alejandro Fernández Almendras,1
Alejandro Fernández Almendras,1
Alejandro G. Iñárritu,1
Alejandro Hartmann,1
Alejandro Lozano,1
Alejandro Martinez-Beltran,1
Alejandro Montiel,1
Alejandro Montiel,1
Aleksey German,1
Alessandro Angulo,1
Alessandro Angulo,1
Alessandro Pepe,1
Alessio Cremonini,1
Alethea Jones,1
Alex Brewer,1
Alex Burunova,1
Alex Coletti,1
Alex Díaz,1
Alex Díaz,1
Alex Garland,1
Alex Gibney,1
Alex Holmes,1
Alex Infascelli,1
Alex Israel,1
Alex Law,1
Alex Lehmann,1
Alex Lehmann,1
Alex Lehmann,1
Alex Merkin,1
Alex Parkinson,1
Alex Proyas,1
Alex Proyas,1
Alex Ranarivelo,1
Alex Richanbach,1
Alex Smith,1
Alex Stapleton,1
Alex Timbers,1
Alex Timbers,1
Alex Winter,1
Alex Woo,1
Alex Woo,1
Alex Woo,1
Alex Woo,1
Alex Zamm,1
Alexander Smith,1
Alexandra Dean,1
Alexandre Aja,1
Alexandre Avancini,1
Alexandre Avancini,1
Alexandre Espigares,1
Alexandre Heboyan,1
Alexandre Reinecke,1
Alexandros Avranas,1
Alexis Morante,1
Alexis Morante,1
Alexx Media,1
Alfons Adetuyi,1
Alfonso Arau,1
Alfonso Cortés-Cavanillas,1
